no,line,name,lat,lng
345,07호선,부평구청,37.508336,126.720548
346,07호선,사가정,37.580894,127.088478
347,07호선,용마산,37.573647,127.086727
348,07호선,중곡,37.565923,127.08432
349,07호선,어린이대공원,37.548014,127.074658
350,07호선,남성,37.484596,126.971251
351,07호선,숭실대입구,37.496029,126.953822
352,07호선,상도,37.502834,126.94791
353,07호선,장승배기,37.504898,126.93915
354,07호선,신대방삼거리,37.499701,126.928276
355,07호선,보라매,37.499872,126.920428
356,07호선,신풍,37.50008,126.90993
357,07호선,대림,37.49297,126.895801
358,07호선,남구로,37.486056,126.887249
359,07호선,가산디지털단지,37.481072,126.882343
360,07호선,철산,37.47605,126.867911
361,07호선,광명사거리,37.479252,126.854876
362,07호선,천왕,37.486637,126.838713
363,07호선,온수,37.492258,126.823388
364,07호선,장암,37.700109,127.053196
365,07호선,중화,37.602545,127.079264
366,07호선,상봉,37.596362,127.085032
367,07호선,면목,37.588579,127.087503
368,07호선,건대입구,37.540693,127.07023
369,07호선,뚝섬유원지,37.53154,127.066704
370,07호선,청담,37.519365,127.05335
371,07호선,도봉산,37.689313,127.046222
372,07호선,수락산,37.67785,127.055315
373,07호선,마들,37.66494,127.057675
374,07호선,노원,37.655128,127.061368
375,07호선,중계,37.644583,127.064303
376,07호선,하계,37.636352,127.06799
377,07호선,공릉,37.625742,127.072896
378,07호선,태릉입구,37.617983,127.07512
379,07호선,먹골,37.610637,127.077725
380,07호선,신중동,37.503048,126.77596
381,07호선,부천시청,37.504631,126.763538
382,07호선,상동,37.505781,126.753083
383,07호선,삼산체육관,37.506411,126.742153
384,07호선,굴포천,37.506997,126.73128
385,08호선,암사,37.55021,127.127562
386,08호선,천호,37.538397,127.123572
387,08호선,강동구청,37.530341,127.120508
388,08호선,몽촌토성,37.517409,127.112359
389,08호선,잠실,37.51395,127.102234
390,08호선,신흥,37.440918,127.147564
391,08호선,수진,37.437428,127.140722
392,08호선,모란,37.43213,127.129087
393,08호선,석촌,37.505431,127.106979
394,08호선,송파,37.499703,127.112183
395,08호선,가락시장,37.492522,127.118234
396,08호선,문정,37.485855,127.1225
397,08호선,장지,37.478703,127.126191
398,08호선,복정,37.470047,127.126662
399,08호선,산성,37.457122,127.149908
400,08호선,남한산성입구,37.451535,127.159816
401,08호선,단대오거리,37.44521,127.156866
402,09호선,석촌고분,37.502008,127.096595
403,09호선,석촌,37.505431,127.106979
404,09호선,송파나루,37.5106168,127.112373
405,09호선,한성백제,37.5166659,127.118162
406,09호선,올림픽공원,37.516078,127.130848
407,09호선,둔촌오륜,37.5194102,127.138403
408,09호선,선정릉,37.51098,127.043593
409,09호선,삼성중앙,37.513011,127.053282
410,09호선,봉은사,37.514219,127.060245
411,09호선,종합운동장,37.510997,127.073642
412,09호선,삼전,37.5044838,127.087426
413,09호선,중앙보훈병원,37.5288855,127.148523
414,09호선,개화,37.578608,126.798153
415,09호선,김포공항,37.562434,126.801058
416,09호선,공항시장,37.563726,126.810678
417,09호선,신방화,37.567532,126.816601
418,09호선,마곡나루,37.567336,126.829497
419,09호선,양천향교,37.568381,126.841333
420,09호선,증미,37.557402,126.861939
421,09호선,등촌,37.550632,126.865689
422,09호선,선유도,37.53802,126.893525
423,09호선,샛강,37.517274,126.928422
424,09호선,노량진,37.514219,126.942454
425,09호선,흑석,37.50877,126.963708
426,09호선,구반포,37.501364,126.987332
427,09호선,신반포,37.503415,126.995925
428,09호선,신논현,37.504598,127.02506
429,09호선,염창,37.546936,126.874916
430,09호선,신목동,37.544277,126.88308
431,09호선,당산,37.53438,126.902281
432,09호선,국회의사당,37.528105,126.917874
433,09호선,여의도,37.521624,126.924191
434,09호선,노들,37.512887,126.953222
435,09호선,동작,37.502971,126.979306
436,09호선,고속터미널,37.50481,127.004943
437,09호선,사평,37.504206,127.015259
438,09호선,가양,37.561391,126.854456
439,09호선,언주,37.507287,127.033868
